SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,107 Williamsburg Dr,Silver Spring,MD,20901,610000,4,2.0,INDIAN SPRING VILLAGE,1730,10500,1936,47,353,,Active,,,https://www.redfin.com/MD/Silver-Spring/107-Williamsburg-Dr-20901/home/11016611,BRIGHT MLS,MDMC2001107,N,Y,39.0184741,-77.0064932
MLS Listing,,Condo/Co-op,9205 New Hampshire Ave #204,Silver Spring,MD,20903,118400,1,1.0,PRESIDENTIAL PARK CONDO,596,,1964,47,199,315,Active,,,https://www.redfin.com/MD/Silver-Spring/9205-New-Hampshire-Ave-20903/unit-204/home/23388165,BRIGHT MLS,MDPG2015514,N,Y,39.0053575,-76.9799226
MLS Listing,,Condo/Co-op,9909 Blundon Dr Unit 4-102,Silver Spring,MD,20902,289900,2,1.5,AMERICANA FINMARK,1047,,1969,49,277,556,Active,,,https://www.redfin.com/MD/Silver-Spring/9909-Blundon-Dr-20902/unit-4-102/home/11097295,BRIGHT MLS,MDMC2020788,N,Y,39.0177705,-77.0453901
MLS Listing,,Townhouse,3821 Chesterwood Dr,Silver Spring,MD,20906,290000,2,1.5,MONTGOMERY CHASE CODM,1433,,1983,49,202,187,Active,,,https://www.redfin.com/MD/Silver-Spring/3821-Chesterwood-Dr-20906/home/22049397,BRIGHT MLS,MDMC2020692,N,Y,39.0871576,-77.0769698
MLS Listing,,Single Family Residential,8921 2nd Ave,Silver Spring,MD,20910,969000,4,3.0,WOODSIDE,3543,9515,1955,50,273,,Active,,,https://www.redfin.com/MD/Silver-Spring/8921-2nd-Ave-20910/home/10979241,BRIGHT MLS,MDMC2020604,N,Y,39.0024044,-77.0387931
MLS Listing,,Single Family Residential,11407 Lovejoy,Silver Spring,MD,20902,495999,3,2.5,KEMP MILL ESTATES,1956,9265,1959,51,254,,Active,,,https://www.redfin.com/MD/Silver-Spring/11407-Lovejoy-St-20902/home/11049971,BRIGHT MLS,MDMC2001213,N,Y,39.042627,-77.0185954
MLS Listing,,Single Family Residential,9135 Sligo Creek Pkwy,Silver Spring,MD,20901,825000,3,3.0,SEVEN OAKS,3144,10696,1940,52,262,,Active,,,https://www.redfin.com/MD/Silver-Spring/9135-Sligo-Creek-Pkwy-20901/home/10966619,BRIGHT MLS,MDMC2020260,N,Y,39.0060207,-77.016481
MLS Listing,,Condo/Co-op,614 Sligo Ave #202,Silver Spring,MD,20910,119999,1,1.0,THE CAROLYN,828,,1966,52,145,667,Active,,,https://www.redfin.com/MD/Silver-Spring/614-Sligo-Ave-20910/unit-202/home/11096577,BRIGHT MLS,MDMC2019778,N,Y,38.9908882,-77.0135792
MLS Listing,,Condo/Co-op,1201 East West Hwy #101,Silver Spring,MD,20910,460000,2,2.0,SILVERTON CODM,1149,,2006,53,400,594,Active,,,https://www.redfin.com/MD/Silver-Spring/1201-East-West-Hwy-20910/unit-101/home/11760579,BRIGHT MLS,MDMC2020134,N,Y,38.9907034,-77.0286497
MLS Listing,,Condo/Co-op,95 E Wayne Ave #204,Silver Spring,MD,20901,155000,1,1.0,KENWOOD HOUSE,817,,1957,53,190,540,Active,,,https://www.redfin.com/MD/Silver-Spring/95-E-Wayne-Ave-20901/unit-204/home/11095664,BRIGHT MLS,MDMC2019746,N,Y,39.0014377,-77.0076405
MLS Listing,,Single Family Residential,2817 Ivydale St,Wheaton,MD,20902,439900,4,2.0,WHEATON HILLS,1723,8098,1949,54,255,,Active,,,https://www.redfin.com/MD/Wheaton/2817-Ivydale-St-20902/home/11007714,BRIGHT MLS,MDMC2020152,N,Y,39.0482508,-77.0585826
MLS Listing,,Vacant Land,16530 Copperstrip Ln,Silver Spring,MD,20906,1999000,,,OLNEY OUT RES (3),,1217066,,55,,,Active,,,https://www.redfin.com/MD/Silver-Spring/16530-Copperstrip-Ln-20906/home/10722606,BRIGHT MLS,MDMC2019954,N,Y,39.130051,-77.0419189
MLS Listing,,Condo/Co-op,8005 13th St #102,Silver Spring,MD,20910,299900,1,1.0,THE ORION CODM,622,,2012,55,482,426,Active,,,https://www.redfin.com/MD/Silver-Spring/8005-13th-St-20910/unit-102/home/49782574,BRIGHT MLS,MDMC2019892,N,Y,38.9868944,-77.0290067
MLS Listing,,Condo/Co-op,1900 Lyttonsville Rd #514,Silver Spring,MD,20910,193000,1,1.0,PARK SUTTON,832,,1964,55,232,612,Active,,,https://www.redfin.com/MD/Silver-Spring/1900-Lyttonsville-Rd-20910/unit-514/home/11107335,BRIGHT MLS,MDMC2018882,N,Y,39.0012929,-77.0411995
MLS Listing,,Single Family Residential,2622 Henderson Ave,Silver Spring,MD,20902,459000,4,2.0,WHEATONCREST,1494,,1952,59,307,,Active,,,https://www.redfin.com/MD/Silver-Spring/2622-Henderson-Ave-20902/home/11004720,BRIGHT MLS,MDMC2000571,N,Y,39.0516657,-77.0554794
MLS Listing,,Condo/Co-op,3911 Doc Berlin Dr #24,Silver Spring,MD,20906,394500,2,2.0,NORBECK CROSSING,1210,,2017,59,326,418,Active,,,https://www.redfin.com/MD/Silver-Spring/3911-Doc-Berlin-Dr-20906/unit-24/home/112907158,BRIGHT MLS,MDMC2019496,N,Y,39.1133324,-77.0741196
MLS Listing,,Condo/Co-op,700 Roeder Rd #602,Silver Spring,MD,20910,427400,2,1.0,DOWNTOWN SILVER SPRING,639,,1981,59,669,180,Active,,,https://www.redfin.com/MD/Silver-Spring/700-Roeder-Rd-20910/unit-602/home/176738269,BRIGHT MLS,MDMC2019494,N,Y,38.9987453,-77.0250032
MLS Listing,,Condo/Co-op,700 Roeder Rd #301,Silver Spring,MD,20910,329900,1,1.0,DOWNTOWN SILVER SPRING,541,,1981,59,610,152,Active,,,https://www.redfin.com/MD/Silver-Spring/700-Roeder-Rd-20910/unit-301/home/176738098,BRIGHT MLS,MDMC2019488,N,Y,38.9987453,-77.0250032
MLS Listing,,Condo/Co-op,700 Roeder Rd #403,Silver Spring,MD,20910,357400,1,1.0,DOWNTOWN SILVER SPRING,585,,1981,59,611,165,Active,,,https://www.redfin.com/MD/Silver-Spring/700-Roeder-Rd-20910/unit-403/home/176737732,BRIGHT MLS,MDMC2019486,N,Y,38.9987453,-77.0250032
MLS Listing,,Condo/Co-op,700 Roeder Rd #504,Silver Spring,MD,20910,339900,1,1.0,DOWNTOWN SILVER SPRING,598,,1981,59,568,168,Active,,,https://www.redfin.com/MD/Silver-Spring/700-Roeder-Rd-20910/unit-504/home/176737576,BRIGHT MLS,MDMC2019460,N,Y,38.9987453,-77.0250032
MLS Listing,,Single Family Residential,15709 Holly Grove Rd,Silver Spring,MD,20905,880000,4,4.0,NORWOOD ESTATES,3741,87991,1986,60,235,,Active,,,https://www.redfin.com/MD/Silver-Spring/15709-Holly-Grove-Rd-20905/home/10580387,BRIGHT MLS,MDMC2000147,N,Y,39.1142654,-77.0069431
MLS Listing,,Single Family Residential,4500 Randolph Rd,Silver Spring,MD,20906,464990,3,2.0,VEIRS MILL VILLAGE,1296,15726,1946,60,359,,Active,,,https://www.redfin.com/MD/Silver-Spring/4500-Randolph-Rd-20906/home/11001901,BRIGHT MLS,MDMC2000653,N,Y,39.0541093,-77.0861476
MLS Listing,,Condo/Co-op,9732 Glen Ave #202,Silver Spring,MD,20910,157000,1,1.0,GLEN MANOR,579,,1965,60,271,,Active,,,https://www.redfin.com/MD/Silver-Spring/9732-Glen-Ave-20910/unit-202/home/176730166,BRIGHT MLS,MDMC2001329,N,Y,39.0154956,-77.0550406
MLS Listing,,Condo/Co-op,575 Thayer Ave #704,Silver Spring,MD,20910,199000,1,1.0,THAYER TOWERS,689,,1960,61,289,526,Active,,,https://www.redfin.com/MD/Silver-Spring/575-Thayer-Ave-20910/unit-704/home/11095501,BRIGHT MLS,MDMC2001103,N,Y,38.9936487,-77.0174482
MLS Listing,,Single Family Residential,705 Cornwall St,Silver Spring,MD,20901,648000,4,3.5,WHEATON OUT RES. (1),2088,8127,1992,62,310,,Active,,,https://www.redfin.com/MD/Silver-Spring/705-Cornwall-St-20901/home/11138528,BRIGHT MLS,MDMC2001197,N,Y,39.0073566,-76.9963696
MLS Listing,,Condo/Co-op,614 Sligo Ave Unit T-3,Silver Spring,MD,20910,180000,2,1.0,THE CAROLYN,991,,1966,62,182,754,Active,,,https://www.redfin.com/MD/Silver-Spring/614-Sligo-Ave-20910/unit-T3/home/10947987,BRIGHT MLS,MDMC2000935,N,Y,38.9908882,-77.0135792
MLS Listing,,Townhouse,3065 Mozart,Silver Spring,MD,20904,399900,4,2.5,TANGLEWOOD,1980,2250,1983,69,202,79,Active,,,https://www.redfin.com/MD/Silver-Spring/3065-Mozart-Dr-20904/home/10584064,BRIGHT MLS,MDMC2019362,N,Y,39.069904,-76.947722
